Year,EmployeeID,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
2017,61161660,-,-,-,-,-,-,200,400,600,400,800,800
2017,90836195,-,-,-,-,-,-,100,200,300,400,400,500
2017,112432117,-,-,-,-,-,-,500,1500,1000,1000,2200,1750
2017,139397894,-,-,-,-,-,-,100,200,300,300,300,500
2017,191644724,-,-,-,-,-,-,100,450,500,200,750,750
2017,234474252,-,-,-,-,-,-,100,200,300,300,300,300
2017,399771412,-,-,-,-,-,-,100,200,300,300,300,300
2017,502097814,-,-,-,-,-,-,500,1500,1000,1000,2200,1750
2017,615389812,-,-,-,-,-,-,-,100,100,100,200,200
2017,716374314,-,-,-,-,-,-,100,200,300,100,300,500
2017,841560125,-,-,-,-,-,-,100,500,400,400,1000,1000
2017,987554265,-,-,-,-,-,-,100,200,300,400,400,500
2018,61161660,200,500,1000,200,750,1250,700,1250,1750,600,1000,1750
2018,90836195,100,200,300,100,500,400,300,300,250,250,350,350
2018,112432117,650,1750,1500,750,2000,1500,1850,3200,2850,1700,3000,2000
2018,134219713,-,-,-,-,-,-,75,150,250,50,150,50
2018,139397894,100,200,300,200,400,500,500,500,500,500,500,500
2018,191644724,100,500,500,200,750,400,800,1200,1200,800,800,800
2018,234474252,150,175,200,225,200,225,500,500,500,500,500,500
2018,399771412,150,175,200,225,200,225,500,500,500,500,500,500
2018,502097814,650,1750,1500,750,2000,1500,1750,2950,2650,1500,2500,1750
2018,615389812,50,150,150,50,200,200,250,300,250,200,200,150
2018,668991357,-,-,-,-,-,-,200,300,400,100,300,200
2018,716374314,150,150,150,150,200,200,150,200,200,200,200,200
2018,841560125,300,400,500,500,600,500,750,850,750,800,1000,1000
2018,982310417,-,-,-,-,-,-,200,300,400,100,300,200
2018,987554265,100,300,200,100,450,175,300,500,200,250,550,150
2019,61161660,800,800,500,600,1200,800,1200,1400,1500,1000,1000,1000
2019,90836195,100,200,200,200,300,300,300,400,500,300,400,500
2019,112432117,1000,2000,1750,1750,1750,1750,2500,4000,30000,2000,3500,3500
2019,134219713,25,50,50,50,100,100,50,700,50,50,500,100
2019,139397894,250,500,500,300,750,650,1000,9000,800,700,600,500
2019,191644724,400,500,600,700,800,900,1000,1000,900,800,700,600
2019,234474252,250,350,350,450,450,450,500,550,750,500,400,650
2019,399771412,200,300,400,450,450,400,500,500,600,500,400,250
2019,481044938,-,-,-,-,-,-,25,50,75,50,100,200
2019,502097814,1250,1500,1500,1750,2000,200,2000,2500,3000,2000,2500,2500
2019,615389812,100,200,100,100,200,200,200,300,300,100,300,325
2019,668991357,50,150,200,100,150,200,200,200,700,700,200,500
2019,716374314,100,150,200,200,150,100,100,200,300,100,200,350
2019,758596752,-,-,-,-,-,-,50,50,50,50,75,100
2019,841560125,250,750,500,750,500,750,500,500,500,500,500,500
2019,954276278,-,-,-,-,-,-,150,300,100,150,150,200
2019,982310417,50,150,200,100,150,200,300,1000,1000,500,800,500
2019,987554265,100,300,200,150,350,150,300,850,1000,500,400,600
2020,61161660,850,950,1050,950,850,1250,1250,1500,1750,1000,1000,1000
2020,90836195,300,400,400,500,500,500,250,500,500,250,500,500
2020,112432117,1500,2000,2500,2000,3000,3500,2750,4500,33000,2250,3750,3750
2020,134219713,200,300,200,300,200,300,250,750,250,250,500,250
2020,139397894,400,500,600,700,800,900,1000,10000,1000,750,750,500
2020,191644724,500,600,800,900,1000,850,1000,1000,1000,1000,750,750
2020,234474252,200,300,400,500,400,300,500,500,750,500,500,750
2020,399771412,250,300,350,400,450,500,500,500,750,500,500,250
2020,481044938,25,50,100,100,100,150,250,250,250,250,250,250
2020,502097814,1250,1500,2000,2000,2500,2500,2250,2750,3250,2250,2750,2750
2020,615389812,100,200,250,250,300,300,250,250,250,250,250,250
2020,668991357,50,500,500,100,750,750,250,250,750,750,250,500
2020,716374314,200,200,200,200,200,200,250,250,250,250,250,500
2020,758596752,100,10,100,100,100,100,250,250,250,250,250,250
2020,841560125,300,400,500,600,700,800,500,500,500,500,500,500
2020,954276278,100,150,150,150,150,200,250,250,250,250,250,250
2020,982310417,500,500,500,750,1000,1000,250,1000,1000,500,1000,500
2020,987554265,250,350,450,400,500,600,250,1000,1000,500,500,750
2021,61161660,1000,1000,1000,1000,1000,1500,1500,1500,2000,1000,1000,1000
2021,90836195,500,500,500,500,500,500,-,-,-,-,-,-
2021,112432117,1500,2000,3000,2000,3500,4000,3000,5000,36500,2500,4000,4000
2021,134219713,250,500,500,500,500,500,-,-,-,-,-,-
2021,139397894,500,500,500,1000,1000,1000,1000,11000,1000,1000,1000,500
2021,191644724,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2021,234474252,250,500,500,500,500,500,500,500,1000,500,500,1000
2021,399771412,500,500,500,500,500,500,-,-,-,-,-,-
2021,481044938,25,50,75,100,125,150,-,-,-,-,-,-
2021,502097814,1500,1500,2000,2000,3000,3000,2500,3000,3500,2500,3000,3000
2021,615389812,250,250,500,500,500,500,500,500,500,500,500,500
2021,668991357,250,500,500,75,1000,1000,-,-,-,-,-,-
2021,716374314,250,250,250,250,250,250,500,500,500,500,500,500
2021,758596752,75,100,125,150,175,200,-,-,-,-,-,-
2021,841560125,500,500,500,500,1000,1000,500,500,500,500,500,500
2021,954276278,50,75,100,125,150,175,-,-,-,-,-,-
2021,982310417,500,500,500,1000,1000,1000,-,-,-,-,-,-
2021,987554265,500,500,500,500,500,500,-,-,-,-,-,-
